1984               ,Num ,%                 ,58
@                  ,@   ,1984              ,58
1985               ,Num ,:                 ,74
1986               ,Num ,:                 ,79
1987               ,Num ,:                 ,85
1988               ,Num ,%                 ,103
@                  ,@   ,1988              ,103
1989               ,Num ,:                 ,134
1990               ,Num ,%                 ,160
@                  ,@   ,1990              ,150
@                  ,@   ,1990s             ,10
1991               ,Num ,%                 ,128
@                  ,@   ,1991              ,128
1992               ,Num ,%                 ,102
@                  ,@   ,1992              ,102
1993               ,Num ,:                 ,57
1994               ,Num ,:                 ,16
2000               ,Num ,%                 ,16
@                  ,@   ,2000              ,16
2000               ,Num ,:                 ,13
10000              ,Num ,:                 ,12
�1                 ,NoC ,:                 ,14
�1.00              ,NoC ,:                 ,1
�10                ,NoC ,:                 ,11
�100               ,NoC ,%                 ,13
@                  ,@   ,�100              ,13
�1000              ,NoC ,%                 ,10
@                  ,@   ,�1000             ,10
a                  ,Det ,%                 ,21626
@                  ,@   ,a                 ,21626
A / a              ,Lett,:                 ,268
A                  ,NoP ,%                 ,38
@                  ,@   ,A                 ,10
@                  ,@   ,A.                ,28
a bit              ,Adv ,:                 ,119
a great deal       ,Adv ,:                 ,14
a little           ,Adv ,:                 ,104
a lot              ,Adv ,:                 ,40
abandon            ,Verb,%                 ,44
@                  ,@   ,abandon           ,12
@                  ,@   ,abandoned         ,26
@                  ,@   ,abandoning        ,5
@                  ,@   ,abandons          ,1
abbey              ,NoC ,%                 ,20
@                  ,@   ,abbey             ,19
@                  ,@   ,abbeys            ,1
Aberdeen           ,NoP ,%                 ,14
@                  ,@   ,Aberdeen          ,14
ability            ,NoC ,%                 ,105
@                  ,@   ,abilities         ,13
@                  ,@   ,ability           ,91
able               ,Adj ,:                 ,304
abolish            ,Verb,%                 ,19
@                  ,@   ,abolish           ,6
@                  ,@   ,abolished         ,11
@                  ,@   ,abolishes         ,0
@                  ,@   ,abolishing        ,2
abolition          ,NoC ,:                 ,12
abortion           ,NoC ,%                 ,15
@                  ,@   ,abortion          ,12
@                  ,@   ,abortions         ,3
about              ,Adv ,:                 ,447
about              ,Prep,:                 ,1524
above              ,Adj ,:                 ,27
above              ,Adv ,:                 ,94
above              ,Prep,:                 ,137
abroad             ,Adv ,:                 ,39
abruptly           ,Adv ,:                 ,12
absence            ,NoC ,%                 ,59
@                  ,@   ,absence           ,58
@                  ,@   ,absences          ,2
absent             ,Adj ,:                 ,15
absolute           ,Adj ,%                 ,35
@                  ,@   ,absolute          ,35
absolutely         ,Adv ,:                 ,58
absorb             ,Verb,%                 ,27
@                  ,@   ,absorb            ,8
@                  ,@   ,absorbed          ,15
@                  ,@   ,absorbing         ,2
@                  ,@   ,absorbs           ,2
abstract           ,Adj ,:                 ,19
abuse              ,NoC ,%                 ,37
@                  ,@   ,abuse             ,34
@                  ,@   ,abuses            ,3
abuse              ,Verb,%                 ,12
@                  ,@   ,abuse             ,2
@                  ,@   ,abused            ,7
@                  ,@   ,abuses            ,1
@                  ,@   ,abusing           ,2
ac                 ,NoC ,%                 ,16
@                  ,@   ,a.c.              ,8
@                  ,@   ,ac                ,7
academic           ,Adj ,:                 ,47
academy            ,NoC ,%                 ,15
@                  ,@   ,academies         ,1
@                  ,@   ,academy           ,14
accelerate         ,Verb,%                 ,11
@                  ,@   ,accelerate        ,4
@                  ,@   ,accelerated       ,4
@                  ,@   ,accelerates       ,1
@                  ,@   ,accelerating      ,1
accent             ,NoC ,%                 ,19
@                  ,@   ,accent            ,14
@                  ,@   ,accents           ,4
accept             ,Verb,%                 ,202
@                  ,@   ,accept            ,98
@                  ,@   ,accepted          ,79
@                  ,@   ,accepting         ,17
@                  ,@   ,accepts           ,8
acceptable         ,Adj ,:                 ,36
acceptance         ,NoC ,%                 ,27
@                  ,@   ,acceptance        ,27
@                  ,@   ,acceptances       ,1
accepted           ,Adj ,:                 ,10
access             ,NoC ,%                 ,100
@                  ,@   ,access            ,100
@                  ,@   ,accesses          ,0
access             ,Verb,%                 ,15
@                  ,@   ,access            ,9
@                  ,@   ,accessed          ,4
@                  ,@   ,accesses          ,0
@                  ,@   ,accessing         ,2
accessible         ,Adj ,:                 ,16
accident           ,NoC ,%                 ,84
@                  ,@   ,accident          ,64
@                  ,@   ,accidents         ,20
accommodate        ,Verb,%                 ,21
@                  ,@   ,accommodate       ,14
@                  ,@   ,accommodated      ,5
@                  ,@   ,accommodates      ,1
@                  ,@   ,accommodating     ,2
accommodation      ,NoC ,%                 ,44
@                  ,@   ,accommodation     ,44
@                  ,@   ,accommodations    ,0
accompany          ,Verb,%                 ,48
@                  ,@   ,accompanied       ,33
@                  ,@   ,accompanies       ,2
@                  ,@   ,accompany         ,9
@                  ,@   ,accompanying      ,4
accord             ,Verb,%                 ,10
@                  ,@   ,accord            ,3
@                  ,@   ,accorded          ,5
@                  ,@   ,according         ,1
@                  ,@   ,accords           ,2
according to       ,Prep,:                 ,157
accordingly        ,Adv ,:                 ,23
account            ,NoC ,%                 ,200
@                  ,@   ,account           ,135
@                  ,@   ,accounts          ,65
account            ,Verb,%                 ,58
@                  ,@   ,account           ,24
@                  ,@   ,accounted         ,14
@                  ,@   ,accounting        ,12
@                  ,@   ,accounts          ,8
