opportunity        ,NoC ,%                 ,161
@                  ,@   ,opportunities     ,58
@                  ,@   ,opportunity       ,103
oppose             ,Verb,%                 ,33
@                  ,@   ,oppose            ,9
@                  ,@   ,opposed           ,19
@                  ,@   ,opposes           ,2
@                  ,@   ,opposing          ,4
opposite           ,Adj ,:                 ,32
opposite           ,NoC ,%                 ,11
@                  ,@   ,opposite          ,9
@                  ,@   ,opposites         ,2
opposite           ,Prep,:                 ,12
opposition         ,NoC ,%                 ,92
@                  ,@   ,opposition        ,91
@                  ,@   ,oppositions       ,1
opt                ,Verb,%                 ,18
@                  ,@   ,opt               ,7
@                  ,@   ,opted             ,6
@                  ,@   ,opting            ,4
@                  ,@   ,opts              ,1
optimistic         ,Adj ,:                 ,12
option             ,NoC ,%                 ,92
@                  ,@   ,option            ,54
@                  ,@   ,options           ,38
or                 ,Conj,:                 ,3707
oral               ,Adj ,:                 ,21
orange             ,Adj ,:                 ,14
orange             ,NoC ,%                 ,17
@                  ,@   ,orange            ,13
@                  ,@   ,oranges           ,4
orchestra          ,NoC ,%                 ,17
@                  ,@   ,orchestra         ,15
@                  ,@   ,orchestras        ,2
order              ,NoC ,%                 ,250
@                  ,@   ,order             ,197
@                  ,@   ,orders            ,52
order              ,Verb,%                 ,76
@                  ,@   ,order             ,18
@                  ,@   ,ordered           ,49
@                  ,@   ,ordering          ,7
@                  ,@   ,orders            ,2
ordinary           ,Adj ,:                 ,68
organ              ,NoC ,%                 ,24
@                  ,@   ,organ             ,13
@                  ,@   ,organs            ,10
organic            ,Adj ,:                 ,21
organisation       ,NoC ,%                 ,134
@                  ,@   ,organisation      ,83
@                  ,@   ,organisations     ,51
organisational     ,Adj ,:                 ,10
organise           ,Verb,%                 ,56
@                  ,@   ,organise          ,13
@                  ,@   ,organised         ,32
@                  ,@   ,organises         ,1
@                  ,@   ,organising        ,10
organiser          ,NoC ,%                 ,17
@                  ,@   ,organiser         ,6
@                  ,@   ,organisers        ,11
organism           ,NoC ,%                 ,18
@                  ,@   ,organism          ,8
@                  ,@   ,organisms         ,10
organization       ,NoC ,%                 ,93
@                  ,@   ,organization      ,63
@                  ,@   ,organizations     ,30
organize           ,Verb,%                 ,34
@                  ,@   ,organize          ,8
@                  ,@   ,organized         ,20
@                  ,@   ,organizes         ,1
@                  ,@   ,organizing        ,6
orientation        ,NoC ,%                 ,12
@                  ,@   ,orientation       ,11
@                  ,@   ,orientations      ,2
origin             ,NoC ,%                 ,48
@                  ,@   ,origin            ,29
@                  ,@   ,origins           ,18
original           ,Adj ,:                 ,108
originally         ,Adv ,:                 ,45
originate          ,Verb,%                 ,15
@                  ,@   ,originate         ,2
@                  ,@   ,originated        ,7
@                  ,@   ,originates        ,2
@                  ,@   ,originating       ,3
orthodox           ,Adj ,:                 ,12
other              ,Adj ,:                 ,1336
other              ,NoC ,%                 ,367
@                  ,@   ,other             ,85
@                  ,@   ,others            ,282
other than         ,Prep,:                 ,43
otherwise          ,Adv ,:                 ,88
ought              ,VMod,:                 ,61
our                ,Det ,:                 ,950
ours               ,Pron,:                 ,17
ourselves          ,Pron,:                 ,45
out                ,Adv ,:                 ,1542
out of             ,Prep,:                 ,491
outbreak           ,NoC ,%                 ,12
@                  ,@   ,outbreak          ,10
@                  ,@   ,outbreaks         ,2
outcome            ,NoC ,%                 ,46
@                  ,@   ,outcome           ,37
@                  ,@   ,outcomes          ,9
outdoor            ,Adj ,:                 ,11
outer              ,Adj ,:                 ,24
outfit             ,NoC ,%                 ,11
@                  ,@   ,outfit            ,8
@                  ,@   ,outfits           ,3
outlet             ,NoC ,%                 ,14
@                  ,@   ,outlet            ,6
@                  ,@   ,outlets           ,8
outline            ,NoC ,%                 ,20
@                  ,@   ,outline           ,14
@                  ,@   ,outlines          ,6
outline            ,Verb,%                 ,28
@                  ,@   ,outline           ,5
@                  ,@   ,outlined          ,20
@                  ,@   ,outlines          ,1
@                  ,@   ,outlining         ,4
outlook            ,NoC ,%                 ,12
@                  ,@   ,outlook           ,12
@                  ,@   ,outlooks          ,1
output             ,NoC ,%                 ,62
@                  ,@   ,output            ,58
@                  ,@   ,outputs           ,4
outside            ,Adj ,:                 ,37
outside            ,Adv ,:                 ,53
outside            ,Prep,:                 ,116
outsider           ,NoC ,%                 ,13
@                  ,@   ,outsider          ,6
@                  ,@   ,outsiders         ,7
outstanding        ,Adj ,:                 ,30
oven               ,NoC ,%                 ,16
@                  ,@   ,oven              ,13
@                  ,@   ,ovens             ,2
over               ,Adv ,:                 ,584
over               ,Prep,:                 ,735
over there         ,Adv ,:                 ,18
overall            ,Adj ,:                 ,60
overall            ,Adv ,:                 ,13
overcome           ,Verb,%                 ,34
@                  ,@   ,overcame          ,3
@                  ,@   ,overcome          ,26
@                  ,@   ,overcomes         ,1
@                  ,@   ,overcoming        ,4
overlook           ,Verb,%                 ,21
@                  ,@   ,overlook          ,4
@                  ,@   ,overlooked        ,8
@                  ,@   ,overlooking       ,8
@                  ,@   ,overlooks         ,2
overnight          ,Adv ,:                 ,12
overseas           ,Adj ,:                 ,26
overseas           ,Adv ,:                 ,12
overwhelming       ,Adj ,:                 ,14
owe                ,Verb,%                 ,37
@                  ,@   ,owe               ,13
@                  ,@   ,owed              ,16
@                  ,@   ,owes              ,6
@                  ,@   ,owing             ,2
Owen               ,NoP ,:                 ,22
owl                ,NoC ,%                 ,16
@                  ,@   ,owl               ,11
@                  ,@   ,owls              ,5
own                ,DetP,:                 ,695
own                ,Verb,%                 ,65
@                  ,@   ,own               ,16
@                  ,@   ,owned             ,36
@                  ,@   ,owning            ,4
@                  ,@   ,owns              ,10
owner              ,NoC ,%                 ,87
@                  ,@   ,owner             ,50
@                  ,@   ,owners            ,38
ownership          ,NoC ,%                 ,31
@                  ,@   ,ownership         ,31
Oxford             ,NoP ,%                 ,86
@                  ,@   ,Oxford            ,86
@                  ,@   ,Oxfords           ,0
Oxfordshire        ,NoP ,:                 ,16
oxygen             ,NoC ,%                 ,19
@                  ,@   ,oxygen            ,19
@                  ,@   ,oxygens           ,0
ozone              ,NoC ,%                 ,13
@                  ,@   ,ozone             ,13
P / p              ,Lett,%                 ,79
p                  ,NoC ,%                 ,148
@                  ,@   ,p                 ,3
@                  ,@   ,p.                ,145
@                  ,@   ,ps                ,0
P                  ,NoP ,%                 ,24
@                  ,@   ,P                 ,10
@                  ,@   ,P.                ,14
pace               ,NoC ,%                 ,34
@                  ,@   ,pace              ,31
@                  ,@   ,paces             ,4
Pacific            ,NoP ,%                 ,27
@                  ,@   ,Pacific           ,27
pack               ,NoC ,%                 ,32
@                  ,@   ,pack              ,25
@                  ,@   ,packs             ,7
pack               ,Verb,%                 ,33
@                  ,@   ,pack              ,9
@                  ,@   ,packed            ,18
@                  ,@   ,packing           ,5
package            ,NoC ,%                 ,72
@                  ,@   ,package           ,57
@                  ,@   ,packages          ,15
packet             ,NoC ,%                 ,18
@                  ,@   ,packet            ,12
@                  ,@   ,packets           ,6
pact               ,NoC ,%                 ,12
@                  ,@   ,pact              ,11
@                  ,@   ,pacts             ,1
pad                ,NoC ,%                 ,11
@                  ,@   ,pad               ,7
@                  ,@   ,pads              ,4
page               ,NoC ,%                 ,151
@                  ,@   ,page              ,106
@                  ,@   ,pages             ,44
pain               ,NoC ,%                 ,84
@                  ,@   ,pain              ,73
@                  ,@   ,pains             ,11
painful            ,Adj ,:                 ,19
paint              ,NoC ,%                 ,26
@                  ,@   ,paint             ,22
@                  ,@   ,paints            ,3
paint              ,Verb,%                 ,44
@                  ,@   ,paint             ,13
@                  ,@   ,painted           ,24
@                  ,@   ,painting          ,5
@                  ,@   ,paints            ,3
painter            ,NoC ,%                 ,20
@                  ,@   ,painter           ,12
@                  ,@   ,painters          ,7
painting           ,NoC ,%                 ,71
@                  ,@   ,painting          ,38
@                  ,@   ,paintings         ,33
pair               ,NoC ,%                 ,81
@                  ,@   ,pair              ,60
@                  ,@   ,pairs             ,21
Pakistan           ,NoP ,:                 ,18
palace             ,NoC ,%                 ,47
@                  ,@   ,palace            ,45
@                  ,@   ,palaces           ,3
pale               ,Adj ,%                 ,38
@                  ,@   ,pale              ,35
@                  ,@   ,paler             ,2
@                  ,@   ,palest            ,0
Palestinian        ,Adj ,:                 ,10
palm               ,NoC ,%                 ,19
@                  ,@   ,palm              ,13
@                  ,@   ,palms             ,6
pan                ,NoC ,%                 ,15
@                  ,@   ,pan               ,12
@                  ,@   ,pans              ,3
panel              ,NoC ,%                 ,49
@                  ,@   ,panel             ,37
@                  ,@   ,panels            ,12
panic              ,NoC ,%                 ,18
@                  ,@   ,panic             ,17
@                  ,@   ,panics            ,0
paper              ,NoC ,%                 ,237
@                  ,@   ,paper             ,173
@                  ,@   ,papers            ,64
para               ,NoC ,%                 ,10
@                  ,@   ,para              ,7
@                  ,@   ,para.             ,2
@                  ,@   ,paras             ,1
parade             ,NoC ,%                 ,12
@                  ,@   ,parade            ,10
@                  ,@   ,parades           ,1
paragraph          ,NoC ,%                 ,34
@                  ,@   ,paragraph         ,26
@                  ,@   ,paragraphs        ,8
parallel           ,Adj ,:                 ,18
parallel           ,NoC ,%                 ,14
@                  ,@   ,parallel          ,11
@                  ,@   ,parallels         ,3
parameter          ,NoC ,%                 ,17
@                  ,@   ,parameter         ,6
@                  ,@   ,parameters        ,11
parcel             ,NoC ,%                 ,12
@                  ,@   ,parcel            ,7
@                  ,@   ,parcels           ,5
pardon             ,NoC ,%                 ,17
@                  ,@   ,pardon            ,17
@                  ,@   ,pardons           ,0
parent             ,NoC ,%                 ,201
@                  ,@   ,parent            ,37
@                  ,@   ,parents           ,163
parental           ,Adj ,:                 ,13
Paris              ,NoP ,:                 ,61
parish             ,NoC ,%                 ,46
@                  ,@   ,parish            ,39
@                  ,@   ,parishes          ,6
park               ,NoC ,%                 ,118
@                  ,@   ,park              ,103
@                  ,@   ,parks             ,14
park               ,Verb,%                 ,19
@                  ,@   ,park              ,5
@                  ,@   ,parked            ,13
@                  ,@   ,parking           ,1
@                  ,@   ,parks             ,0
Parker             ,NoP ,%                 ,11
@                  ,@   ,Parker            ,11
parking            ,NoC ,:                 ,15
parliament         ,NoC ,%                 ,101
@                  ,@   ,parliament        ,97
@                  ,@   ,parliaments       ,4
parliamentary      ,Adj ,:                 ,43
part               ,NoC ,%                 ,612
@                  ,@   ,part              ,496
@                  ,@   ,parts             ,116
part               ,Verb,%                 ,13
@                  ,@   ,part              ,3
@                  ,@   ,parted            ,8
@                  ,@   ,parting           ,2
@                  ,@   ,parts             ,0
part-time          ,Adj ,:                 ,20
partial            ,Adj ,:                 ,18
partially          ,Adv ,:                 ,13
participant        ,NoC ,%                 ,28
@                  ,@   ,participant       ,6
@                  ,@   ,participants      ,22
participate        ,Verb,%                 ,29
@                  ,@   ,participate       ,17
@                  ,@   ,participated      ,5
@                  ,@   ,participates      ,1
@                  ,@   ,participating     ,6
participation      ,NoC ,%                 ,27
@                  ,@   ,participation     ,27
particle           ,NoC ,%                 ,24
@                  ,@   ,particle          ,7
@                  ,@   ,particles         ,17
particular         ,Adj ,:                 ,223
particularly       ,Adv ,:                 ,220
partly             ,Adv ,:                 ,57
partner            ,NoC ,%                 ,88
@                  ,@   ,partner           ,49
@                  ,@   ,partners          ,39
partnership        ,NoC ,%                 ,42
@                  ,@   ,partnership       ,35
@                  ,@   ,partnerships      ,7
party              ,NoC ,%                 ,529
@                  ,@   ,parties           ,127
@                  ,@   ,party             ,403
pass               ,NoC ,%                 ,24
@                  ,@   ,pass              ,18
@                  ,@   ,passes            ,6
pass               ,Verb,%                 ,204
@                  ,@   ,pass              ,58
@                  ,@   ,passed            ,107
@                  ,@   ,passes            ,13
@                  ,@   ,passing           ,27
passage            ,NoC ,%                 ,52
@                  ,@   ,passage           ,40
@                  ,@   ,passages          ,11
passenger          ,NoC ,%                 ,45
@                  ,@   ,passenger         ,20
@                  ,@   ,passengers        ,26
passing            ,Adj ,:                 ,12
passion            ,NoC ,%                 ,26
@                  ,@   ,passion           ,23
@                  ,@   ,passions          ,3
passive            ,Adj ,:                 ,14
passport           ,NoC ,%                 ,11
@                  ,@   ,passport          ,8
@                  ,@   ,passports         ,3
past               ,Adj ,:                 ,89
past               ,Adv ,:                 ,21
past               ,NoC ,%                 ,86
@                  ,@   ,past              ,86
@                  ,@   ,pasts             ,0
past               ,Prep,:                 ,67
Pat                ,NoP ,%                 ,18
@                  ,@   ,Pat               ,18
patch              ,NoC ,%                 ,25
@                  ,@   ,patch             ,16
@                  ,@   ,patches           ,9
patent             ,NoC ,%                 ,13
@                  ,@   ,patent            ,9
@                  ,@   ,patents           ,4
path               ,NoC ,%                 ,76
@                  ,@   ,path              ,62
@                  ,@   ,paths             ,14
patience           ,NoC ,:                 ,12
patient            ,Adj ,:                 ,14
patient            ,NoC ,%                 ,242
@                  ,@   ,patient           ,69
@                  ,@   ,patients          ,173
Patrick            ,NoP ,%                 ,30
@                  ,@   ,Patrick           ,30
patrol             ,NoC ,%                 ,11
@                  ,@   ,patrol            ,8
@                  ,@   ,patrols           ,3
patron             ,NoC ,%                 ,12
@                  ,@   ,patron            ,8
@                  ,@   ,patrons           ,4
pattern            ,NoC ,%                 ,149
@                  ,@   ,pattern           ,91
@                  ,@   ,patterns          ,58
Paul               ,NoP ,%                 ,114
@                  ,@   ,Paul              ,114
@                  ,@   ,Pauls             ,0
Paula              ,NoP ,:                 ,11
pause              ,NoC ,%                 ,18
@                  ,@   ,pause             ,16
@                  ,@   ,pauses            ,2
pause              ,Verb,%                 ,33
@                  ,@   ,pause             ,4
@                  ,@   ,paused            ,25
@                  ,@   ,pauses            ,1
@                  ,@   ,pausing           ,3
pavement           ,NoC ,%                 ,18
@                  ,@   ,pavement          ,14
@                  ,@   ,pavements         ,5
pay                ,NoC ,:                 ,45
pay                ,Verb,%                 ,381
@                  ,@   ,paid              ,144
@                  ,@   ,pay               ,175
@                  ,@   ,payed             ,0
@                  ,@   ,paying            ,46
@                  ,@   ,pays              ,15
payable            ,Adj ,:                 ,17
payment            ,NoC ,%                 ,99
@                  ,@   ,payment           ,54
@                  ,@   ,payments          ,45
pc                 ,NoC ,%                 ,37
@                  ,@   ,p.c               ,1
@                  ,@   ,P.C.              ,8
@                  ,@   ,pc                ,23
@                  ,@   ,pc.               ,1
@                  ,@   ,pcs               ,4
peace              ,NoC ,%                 ,89
@                  ,@   ,peace             ,89
peaceful           ,Adj ,:                 ,17
peak               ,NoC ,%                 ,38
@                  ,@   ,peak              ,28
@                  ,@   ,peaks             ,10
peasant            ,NoC ,%                 ,33
@                  ,@   ,peasant           ,16
@                  ,@   ,peasants          ,17
peculiar           ,Adj ,:                 ,14
peer               ,NoC ,%                 ,13
@                  ,@   ,peer              ,5
@                  ,@   ,peers             ,8
peer               ,Verb,%                 ,18
@                  ,@   ,peer              ,3
@                  ,@   ,peered            ,9
@                  ,@   ,peering           ,6
@                  ,@   ,peers             ,0
pen                ,NoC ,%                 ,25
@                  ,@   ,pen               ,20
@                  ,@   ,pens              ,5
penalty            ,NoC ,%                 ,38
@                  ,@   ,penalties         ,11
@                  ,@   ,penalty           ,27
pence              ,NoC ,:                 ,13
pencil             ,NoC ,%                 ,14
@                  ,@   ,pencil            ,12
@                  ,@   ,pencils           ,3
penetrate          ,Verb,%                 ,12
@                  ,@   ,penetrate         ,6
@                  ,@   ,penetrated        ,4
@                  ,@   ,penetrates        ,1
@                  ,@   ,penetrating       ,2
penny              ,NoC ,%                 ,15
@                  ,@   ,pennies           ,3
@                  ,@   ,penny             ,12
pension            ,NoC ,%                 ,64
@                  ,@   ,pension           ,45
@                  ,@   ,pensions          ,19
pensioner          ,NoC ,%                 ,20
@                  ,@   ,pensioner         ,6
@                  ,@   ,pensioners        ,14
people             ,NoC ,%                 ,1256
@                  ,@   ,people            ,1241
@                  ,@   ,peoples           ,15
pepper             ,NoC ,%                 ,11
@                  ,@   ,pepper            ,9
@                  ,@   ,peppers           ,2
per                ,Prep,:                 ,135
per cent           ,NoC ,%                 ,384
@                  ,@   ,per cent          ,382
@                  ,@   ,per cent.         ,2
perceive           ,Verb,%                 ,29
@                  ,@   ,perceive          ,9
@                  ,@   ,perceived         ,17
@                  ,@   ,perceives         ,1
@                  ,@   ,perceiving        ,2
percent            ,NoC ,%                 ,29
@                  ,@   ,percent           ,29
percentage         ,NoC ,%                 ,32
@                  ,@   ,percentage        ,28
@                  ,@   ,percentages       ,4
perception         ,NoC ,%                 ,33
@                  ,@   ,perception        ,22
@                  ,@   ,perceptions       ,12
perfect            ,Adj ,:                 ,56
perfectly          ,Adv ,:                 ,44
perform            ,Verb,%                 ,88
@                  ,@   ,perform           ,32
@                  ,@   ,performed         ,39
@                  ,@   ,performing        ,13
@                  ,@   ,performs          ,4
performance        ,NoC ,%                 ,146
@                  ,@   ,performance       ,130
@                  ,@   ,performances      ,16
performer          ,NoC ,%                 ,11
@                  ,@   ,performer         ,5
@                  ,@   ,performers        ,6
perhaps            ,Adv ,:                 ,350
period             ,NoC ,%                 ,283
@                  ,@   ,period            ,243
@                  ,@   ,periods           ,40
permanent          ,Adj ,:                 ,45
permanently        ,Adv ,:                 ,12
permission         ,NoC ,%                 ,34
@                  ,@   ,permission        ,32
@                  ,@   ,permissions       ,2
permit             ,Verb,%                 ,45
@                  ,@   ,permit            ,14
@                  ,@   ,permits           ,5
@                  ,@   ,permitted         ,21
@                  ,@   ,permitting        ,5
persist            ,Verb,%                 ,18
@                  ,@   ,persist           ,5
@                  ,@   ,persisted         ,9
@                  ,@   ,persisting        ,1
@                  ,@   ,persists          ,3
persistent         ,Adj ,:                 ,13
person             ,NoC ,%                 ,290
@                  ,@   ,person            ,250
@                  ,@   ,persons           ,40
personal           ,Adj ,:                 ,176
personality        ,NoC ,%                 ,37
@                  ,@   ,personalities     ,7
@                  ,@   ,personality       ,29
personally         ,Adv ,:                 ,27
personnel          ,NoC ,%                 ,33
@                  ,@   ,personnel         ,33
perspective        ,NoC ,%                 ,38
@                  ,@   ,perspective       ,31
@                  ,@   ,perspectives      ,7
persuade           ,Verb,%                 ,52
@                  ,@   ,persuade          ,24
@                  ,@   ,persuaded         ,21
@                  ,@   ,persuades         ,1
@                  ,@   ,persuading        ,6
pet                ,NoC ,%                 ,19
@                  ,@   ,pet               ,13
@                  ,@   ,pets              ,5
Pete               ,NoP ,:                 ,13
Peter              ,NoP ,:                 ,124
petition           ,NoC ,%                 ,15
@                  ,@   ,petition          ,12
@                  ,@   ,petitions         ,3
petrol             ,NoC ,%                 ,24
@                  ,@   ,petrol            ,24
ph                 ,NoC ,%                 ,16
@                  ,@   ,p.h.              ,0
@                  ,@   ,ph                ,15
phase              ,NoC ,%                 ,56
@                  ,@   ,phase             ,46
@                  ,@   ,phases            ,10
phenomenon         ,NoC ,%                 ,36
@                  ,@   ,phenomena         ,14
@                  ,@   ,phenomenon        ,22
Phil               ,NoP ,%                 ,20
@                  ,@   ,Phil              ,20
Philip             ,NoP ,:                 ,40
Phillips           ,NoP ,:                 ,12
philosopher        ,NoC ,%                 ,13
@                  ,@   ,philosopher       ,6
@                  ,@   ,philosophers      ,7
philosophical      ,Adj ,:                 ,13
philosophy         ,NoC ,%                 ,37
@                  ,@   ,philosophies      ,2
@                  ,@   ,philosophy        ,35
phone              ,NoC ,%                 ,71
@                  ,@   ,phone             ,67
@                  ,@   ,phones            ,4
phone              ,Verb,%                 ,31
@                  ,@   ,phone             ,14
@                  ,@   ,phoned            ,13
@                  ,@   ,phones            ,1
@                  ,@   ,phoning           ,3
photo              ,NoC ,%                 ,21
@                  ,@   ,photo             ,12
@                  ,@   ,photos            ,8
photograph         ,NoC ,%                 ,58
@                  ,@   ,photograph        ,25
@                  ,@   ,photographs       ,33
photographer       ,NoC ,%                 ,17
@                  ,@   ,photographer      ,11
@                  ,@   ,photographers     ,6
photography        ,NoC ,:                 ,11
phrase             ,NoC ,%                 ,43
@                  ,@   ,phrase            ,30
@                  ,@   ,phrases           ,13
physical           ,Adj ,:                 ,95
physically         ,Adv ,:                 ,20
physics            ,NoC ,:                 ,19
piano              ,NoC ,%                 ,21
@                  ,@   ,piano             ,20
@                  ,@   ,pianos            ,1
pick               ,Verb,%                 ,150
@                  ,@   ,pick              ,60
@                  ,@   ,picked            ,63
@                  ,@   ,picking           ,21
@                  ,@   ,picks             ,6
picture            ,NoC ,%                 ,159
@                  ,@   ,picture           ,105
@                  ,@   ,pictures          ,54
picture            ,Verb,%                 ,12
@                  ,@   ,picture           ,4
@                  ,@   ,pictured          ,7
@                  ,@   ,pictures          ,1
@                  ,@   ,picturing         ,1
pie                ,NoC ,%                 ,16
@                  ,@   ,pie               ,12
@                  ,@   ,pies              ,5
piece              ,NoC ,%                 ,148
@                  ,@   ,piece             ,92
@                  ,@   ,pieces            ,56
pier               ,NoC ,%                 ,11
@                  ,@   ,pier              ,5
@                  ,@   ,piers             ,6
pig                ,NoC ,%                 ,25
@                  ,@   ,pig               ,13
@                  ,@   ,pigs              ,12
pile               ,NoC ,%                 ,23
@                  ,@   ,pile              ,17
@                  ,@   ,piles             ,6
pile               ,Verb,%                 ,11
@                  ,@   ,pile              ,2
@                  ,@   ,piled             ,7
@                  ,@   ,piling            ,2
pill               ,NoC ,%                 ,12
@                  ,@   ,pill              ,6
@                  ,@   ,pills             ,6
pillar             ,NoC ,%                 ,10
@                  ,@   ,pillar            ,5
@                  ,@   ,pillars           ,5
pillow             ,NoC ,%                 ,11
@                  ,@   ,pillow            ,7
@                  ,@   ,pillows           ,4
pilot              ,NoC ,%                 ,43
@                  ,@   ,pilot             ,31
@                  ,@   ,pilots            ,11
pin                ,NoC ,%                 ,14
@                  ,@   ,pin               ,9
@                  ,@   ,pins              ,5
pin                ,Verb,%                 ,13
@                  ,@   ,pin               ,4
@                  ,@   ,pinned            ,7
@                  ,@   ,pinning           ,2
@                  ,@   ,pins              ,0
pine               ,NoC ,%                 ,12
@                  ,@   ,pine              ,10
@                  ,@   ,pines             ,2
pink               ,Adj ,%                 ,30
@                  ,@   ,pink              ,30
@                  ,@   ,pinker            ,0
pint               ,NoC ,%                 ,17
@                  ,@   ,pint              ,12
@                  ,@   ,pints             ,5
pipe               ,NoC ,%                 ,35
@                  ,@   ,pipe              ,23
@                  ,@   ,pipes             ,12
pit                ,NoC ,%                 ,27
@                  ,@   ,pit               ,17
@                  ,@   ,pits              ,9
pitch              ,NoC ,%                 ,31
@                  ,@   ,pitch             ,27
@                  ,@   ,pitches           ,4
pity               ,NoC ,%                 ,18
@                  ,@   ,pity              ,17
place              ,NoC ,%                 ,534
@                  ,@   ,place             ,443
@                  ,@   ,places            ,91
place              ,Verb,%                 ,150
@                  ,@   ,place             ,43
@                  ,@   ,placed            ,86
@                  ,@   ,places            ,7
@                  ,@   ,placing           ,14
placement          ,NoC ,%                 ,11
@                  ,@   ,placement         ,8
@                  ,@   ,placements        ,3
plain              ,Adj ,%                 ,29
@                  ,@   ,plain             ,29
@                  ,@   ,plainer           ,0
@                  ,@   ,plainest          ,0
plain              ,NoC ,%                 ,16
@                  ,@   ,plain             ,11
@                  ,@   ,plains            ,5
plaintiff          ,NoC ,%                 ,39
@                  ,@   ,plaintiff         ,30
@                  ,@   ,plaintiffs        ,9
plan               ,NoC ,%                 ,220
@                  ,@   ,plan              ,123
@                  ,@   ,plans             ,97
plan               ,Verb,%                 ,141
@                  ,@   ,plan              ,26
@                  ,@   ,planned           ,44
@                  ,@   ,planning          ,50
@                  ,@   ,plans             ,20
plane              ,NoC ,%                 ,45
@                  ,@   ,plane             ,34
@                  ,@   ,planes            ,11
planet             ,NoC ,%                 ,24
@                  ,@   ,planet            ,18
@                  ,@   ,planets           ,6
planned            ,Adj ,:                 ,14
planner            ,NoC ,%                 ,12
@                  ,@   ,planner           ,3
@                  ,@   ,planners          ,9
planning           ,NoC ,:                 ,96
plant              ,NoC ,%                 ,146
@                  ,@   ,plant             ,74
@                  ,@   ,plants            ,72
plant              ,Verb,%                 ,27
@                  ,@   ,plant             ,7
@                  ,@   ,planted           ,14
@                  ,@   ,planting          ,6
@                  ,@   ,plants            ,0
plastic            ,NoC ,%                 ,45
@                  ,@   ,plastic           ,41
@                  ,@   ,plastics          ,5
plate              ,NoC ,%                 ,64
@                  ,@   ,plate             ,41
@                  ,@   ,plates            ,23
platform           ,NoC ,%                 ,34
@                  ,@   ,platform          ,26
@                  ,@   ,platforms         ,8
play               ,NoC ,%                 ,79
@                  ,@   ,play              ,67
@                  ,@   ,plays             ,12
play               ,Verb,%                 ,386
@                  ,@   ,play              ,149
@                  ,@   ,played            ,112
@                  ,@   ,playing           ,101
@                  ,@   ,plays             ,24
player             ,NoC ,%                 ,138
@                  ,@   ,player            ,57
@                  ,@   ,players           ,82
plc                ,NoC ,%                 ,18
@                  ,@   ,p.l.c             ,0
@                  ,@   ,plc               ,16
@                  ,@   ,plc.              ,1
@                  ,@   ,plcs              ,0
plea               ,NoC ,%                 ,15
@                  ,@   ,plea              ,12
@                  ,@   ,pleas             ,4
plead              ,Verb,%                 ,18
@                  ,@   ,plead             ,4
@                  ,@   ,pleaded           ,10
@                  ,@   ,pleading          ,4
@                  ,@   ,pleads            ,1
pleasant           ,Adj ,%                 ,27
@                  ,@   ,pleasant          ,27
@                  ,@   ,pleasanter        ,0
@                  ,@   ,pleasantest       ,0
please             ,Adv ,:                 ,133
please             ,Verb,%                 ,17
@                  ,@   ,please            ,11
@                  ,@   ,pleased           ,5
@                  ,@   ,pleases           ,2
@                  ,@   ,pleasing          ,0
pleased            ,Adj ,:                 ,47
pleasure           ,NoC ,%                 ,58
@                  ,@   ,pleasure          ,52
@                  ,@   ,pleasures         ,6
pledge             ,Verb,%                 ,10
@                  ,@   ,pledge            ,2
@                  ,@   ,pledged           ,7
@                  ,@   ,pledges           ,1
@                  ,@   ,pledging          ,1
plenty             ,Pron,:                 ,46
plot               ,NoC ,%                 ,24
@                  ,@   ,plot              ,18
@                  ,@   ,plots             ,6
plot               ,Verb,%                 ,11
@                  ,@   ,plot              ,3
@                  ,@   ,plots             ,0
@                  ,@   ,plotted           ,4
@                  ,@   ,plotting          ,4
plunge             ,Verb,%                 ,14
@                  ,@   ,plunge            ,3
@                  ,@   ,plunged           ,8
@                  ,@   ,plunges           ,1
@                  ,@   ,plunging          ,3
plus               ,Prep,:                 ,70
pm                 ,Adv ,%                 ,24
@                  ,@   ,p.m               ,7
@                  ,@   ,p.m.              ,6
@                  ,@   ,pm                ,11
pocket             ,NoC ,%                 ,52
@                  ,@   ,pocket            ,35
@                  ,@   ,pockets           ,16
poem               ,NoC ,%                 ,41
@                  ,@   ,poem              ,25
@                  ,@   ,poems             ,16
poet               ,NoC ,%                 ,32
@                  ,@   ,poet              ,22
@                  ,@   ,poets             ,9
poetry             ,NoC ,%                 ,29
@                  ,@   ,poetry            ,29
point              ,NoC ,%                 ,484
@                  ,@   ,point             ,369
@                  ,@   ,points            ,115
point              ,Verb,%                 ,142
@                  ,@   ,point             ,33
@                  ,@   ,pointed           ,58
@                  ,@   ,pointing          ,22
@                  ,@   ,points            ,30
poison             ,NoC ,%                 ,10
@                  ,@   ,poison            ,8
@                  ,@   ,poisons           ,2
Poland             ,NoP ,:                 ,21
pole/Pole          ,NoC ,%                 ,26
@                  ,@   ,pole/Pole         ,13
@                  ,@   ,poles/Poles       ,13
police             ,NoC ,:                 ,278
policeman          ,NoC ,%                 ,34
@                  ,@   ,policeman         ,21
@                  ,@   ,policemen         ,12
policy             ,NoC ,%                 ,348
@                  ,@   ,policies          ,88
@                  ,@   ,policy            ,260
Polish             ,Adj ,:                 ,15
polite             ,Adj ,%                 ,12
@                  ,@   ,polite            ,12
@                  ,@   ,politest          ,0
political          ,Adj ,:                 ,306
politically        ,Adv ,:                 ,17
